ICAO,Name,City,Elevation,Longitude,Latitude
VOBZ,Vijayawada,Vijayawada,74,80.79988861,16.53125954
VOCB,Coimbatore,Coimbatore,1303,77.04463959,11.03175831
VOCC,Cochin,Cochin,4,76.27357483,9.944962502
VOCI,Cochin Intl,Cochin,29,76.40049744,10.15112972
VOCL,Calicut,Calicut,320,75.95555115,11.13602924
VOCP,Cuddapah,Cuddapah,434,78.7718277,14.51228523
VOCX,Car Nicobar AB,Car Nicobar,5,92.81926727,9.153208733
VODG,Dundigul Iaf Academy,Dundigul,2013,78.40467072,17.62808228
VOGO,Dabolim,,149,73.83278656,15.38081074
VOHB,Hubli,Hubli,2174,75.08210754,15.36108303
VOHK,Hakimpet,Hakimpet,2020,78.52254486,17.55332375
VOHS,Rajiv Gandhi Intl,,1998,78.43286896,17.22987556
VOHY,Hyderabad,Hyderabad,1730,78.46883392,17.45314598
VOKP,Koppal Aerodrome,Koppal,1701,76.22008514,15.35942841
VOMD,Madurai,Madurai,433,78.0912323,9.834452629
VOML,Mangalore,Mangalore,313,74.88628387,12.95434189
VOMM,Chennai Intl,Chennai,46,80.16830444,12.99546146
VOMY,Mysore,Mysore,2366,76.652565,12.23153019
VOND,Nander,Nander,1242,77.32556915,19.18142319
VONS,Nagarjuna Sagar,Nagarjuna Sagar,638,79.31685638,16.54164505
VOPB,Port Blair,Port Blair,84,92.7296524,11.6412487
VOPC,Puduchery,Puduchery,124,79.81179047,11.96823406
VOPN,Sri Sathya Sai,Prasanthinilayam,1552,77.79161835,14.14859104
VORG,Basanth Nagar Airport,Peddapalli,651,79.3938446,18.70049286
VORM,Ramnad Naval Air Station,Periyapattinam,25,78.97156525,9.325257301
VORY,Rajahmundry,Rajahmundry,122,81.8181839,17.10945511
VOSM,Salem,Salem,996,78.0645752,11.7823658
VOSX,Sulur,Sulur,1250,77.15897369,11.0127182
VOTJ,Tanjore,Tanjore,245,79.10762787,10.72121811
VOTK,Tuticorin Southwest,Tuticorin Southwest,83,78.02711487,8.722877502
VOTP,Tirupati,Tirupati,343,79.54359436,13.63259411
VOTR,Tiruchirappalli,Tiruchirappalli,279,78.71775818,10.76622868
VOTV,Thiruvananthapuram,Thiruvananthapuram,16,76.91983795,8.482230186
VOTX,Tambaram,Tambaram,90,80.12158966,12.90534115
VOVR,Vellore Airport,Vellore,766,79.06681061,12.90873241
